Period ,Anand_RTNG,Anand_GMS ,Carlsen_RTNG,Carlsen_GMS 
 2013-Oct  ,2775,0,2870,6
 2013-Sep  ,2775,0,2862,0
 2013-Aug  ,2775,0,2862,0
 2013-Jul  ,2775,9,2862,9
 2013-Jun  ,2786,18,2864,9
 2013-May  ,2783,0,2868,14
 2013-Apr  ,2783,6,2872,0
 2013-Mar  ,2784,10,2872,0
 2013-Feb  ,2780,13,2872,13
 2013-Jan  ,2772,8,2861,8
 2012-Dec  ,2775,0,2848,0
 2012-Nov  ,2775,10,2848,10
 2012-Oct  ,2780,0,2843,0
 2012-Sep  ,2780,0,2843,10
 2012-Aug  ,2780,0,2837,0
 2012-Jul  ,2780,12,2837,9
 2012-May  ,2791,4,2835,0
 2012-Mar  ,2799,0,2835,13
 2012-Jan  ,2799,17,2835,17
 2011-Nov  ,2811,10,2826,10
 2011-Sep  ,2817,0,2823,10
 2011-Jul  ,2817,0,2821,10
 2011-May  ,2817,0,2815,0
 2011-Mar  ,2817,13,2815,13
 2011-Jan  ,2810,17,2814,17
 2010-Nov  ,2804,6,2802,14
 2010-Sep  ,2800,0,2826,0
 2010-Jul  ,2800,13,2826,10
 2010-May  ,2789,2,2813,0
 2010-Mar  ,2787,13,2813,13
 2010-Jan  ,2790,9,2810,16
 2009-Nov  ,2788,0,2801,10
 2009-Sep  ,2788,0,2772,10
 2009-Jul  ,2788,2,2772,12
 2009-Apr  ,2783,14,2770,27
 2009-Jan  ,2791,11,2776,17
 2008-Oct  ,2783,10,2786,31
 2008-Jul  ,2798,2,2775,16
 2008-Apr  ,2803,27,2765,27
 2008-Jan  ,2799,3,2733,37
 2007-Oct  ,2801,21,2714,25
 2007-Jul  ,2792,4,2710,19
 2007-Apr  ,2786,27,2693,27
 2007-Jan  ,2779,0,2690,11
 2006-Oct  ,2779,0,2698,46
 2006-Jul  ,2779,26,2675,27
 2006-Apr  ,2803,13,2646,13
 2006-Jan  ,2792,14,2625,40
 2005-Oct  ,2788,0,2570,32
 2005-Jul  ,2788,18,2528,15
 2005-Apr  ,2785,25,2548,22
 2005-Jan  ,2786,11,2553,35
 2004-Oct  ,2781,16,2581,23
 2004-Jul  ,2782,9,2567,32
 2004-Apr  ,2774,13,2552,35
 2004-Jan  ,2766,0,2484,45
 2003-Oct  ,2766,10,2450,36
 2003-Jul  ,2774,7,2385,25
 2003-Apr  ,2764,25,2356,19
 2003-Jan  ,2753,11,2279,12
 2002-Oct  ,2755,0,2250,33
 2002-Jul  ,2755,2,2214,19
 2002-Apr  ,2752,12,2163,14
 2002-Jan  ,2757,14,2127,12
 2001-Oct  ,2770,10,2072,19
 2001-Jul  ,2797,6,2084,11
 2001-Apr  ,2794,13,2064,15
 2001-Jan  ,2790,16,,
 2000-Oct  ,2774,19,,
 2000-Jul  ,2762,23,,
 2000-Jan  ,2769,12,,
